itemLabel,ikuspenak,imagen
Natalia Zabala,24,http://commons.wikimedia.org/wiki/Special:FilePath/Miss%20Spain%2007%20Natalia%20Zabala%20Arroyo.jpg
Naroa Agirre,39,http://commons.wikimedia.org/wiki/Special:FilePath/Naroa%20Agirre%20pertika-jauzilaria.jpg
Andoni Agirregomezkorta,14,http://commons.wikimedia.org/wiki/Special:FilePath/AUPA%20REAL%21%20MONOLOGOAK%20%2840436626441%29.jpg
Gorka Otxoa,9,http://commons.wikimedia.org/wiki/Special:FilePath/Gorka%20Otxoa%2C%202012.jpg
Conchita Montenegro,12,http://commons.wikimedia.org/wiki/Special:FilePath/Conchita%20Montenegro%20Argentinean%20Magazine%20AD%202.jpg
Barbara Goenaga,63,http://commons.wikimedia.org/wiki/Special:FilePath/Barbara%20Goenaga%203-19%20estreno%20%28cropped%29.jpg
Javier Gurrutxaga,28,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Gurruchaga.jpg
Nagore Aranburu,91,http://commons.wikimedia.org/wiki/Special:FilePath/Nagore%20Aranburu%202011.jpg
Mikel Laskurain,88,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Laskurain%20aktorea%202013an.jpg
Ylenia Baglietto,30,http://commons.wikimedia.org/wiki/Special:FilePath/Ylenia%20Baglietto.jpg
Mireia Gabilondo,38,http://commons.wikimedia.org/wiki/Special:FilePath/Mireia%20Gabilondo%20aktoresa%20eta%20zuzendaria.jpg
Kontxu Odriozola,55,http://commons.wikimedia.org/wiki/Special:FilePath/Kontxu%20Odriozola.%20Aktorea.jpg
Xabi Tolosa,8,http://commons.wikimedia.org/wiki/Special:FilePath/Xabi%20Tolosa%20en%20Cab%C3%A1s.jpg
Joseba Usabiaga,64,http://commons.wikimedia.org/wiki/Special:FilePath/Joseba%20Usabiaga%201.jpg
Amaia Ruiz,35,http://commons.wikimedia.org/wiki/Special:FilePath/Amaia%20Ruiz%202020.jpg
Arantxa Gurmendi,59,http://commons.wikimedia.org/wiki/Special:FilePath/Arantxa%20Gurmendi.png
Eneko Olasagasti,20,http://commons.wikimedia.org/wiki/Special:FilePath/EnekoOolasagastiArgia.jpg
Ramon Agirre,100,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Agirre%202.jpg
Sara Cozar,19,http://commons.wikimedia.org/wiki/Special:FilePath/Sara%20Cozar%20antzezlea%202012an.jpg
Xebe Diez,13,http://commons.wikimedia.org/wiki/Special:FilePath/Xebe%20Diez%2C%20eguraldi%20gizona%20%2896-177%29.jpg
Nerea Garmendia,105,http://commons.wikimedia.org/wiki/Special:FilePath/NEREA%20GARMENDIA%202016.jpg
Teresa Calo,22,http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20Calo.jpg
Egoitz Lasa,47,http://commons.wikimedia.org/wiki/Special:FilePath/Egoitz%20Lasa%20aktorea%202012an.jpg
Miriam Cabeza,5,http://commons.wikimedia.org/wiki/Special:FilePath/19042-miriam%2Bcabeza.jpg
Ane Albisu,13,http://commons.wikimedia.org/wiki/Special:FilePath/Ane%20Albisu%202014.jpg
Virginia Imaz,7,http://commons.wikimedia.org/wiki/Special:FilePath/Virginia%20Imaz.jpg
Paula Etxeberria,112,http://commons.wikimedia.org/wiki/Special:FilePath/TWIN%20MELODY%202018.jpg
Antton Etxeberria,14,http://commons.wikimedia.org/wiki/Special:FilePath/Antton%20Etxeberria%20Ekimen%20ozeanikoak2.jpg
Miren Arrieta,121,http://commons.wikimedia.org/wiki/Special:FilePath/Miren%20Arrieta.jpg
Aitana Etxeberria,627,http://commons.wikimedia.org/wiki/Special:FilePath/TWIN%20MELODY%202018.jpg
Jone Laspiur,22,http://commons.wikimedia.org/wiki/Special:FilePath/Jone%20Laspiur.%20Actriz%20revelaci%C3%B3n.%20Por%20Papo%20Waisman.jpg
Manuela Varela,2,http://commons.wikimedia.org/wiki/Special:FilePath/ManuelaVarelaPazoDeFamilia.jpg
Aia Kruse,32,http://commons.wikimedia.org/wiki/Special:FilePath/Aia%20Kruse%203.jpg
Olatz Beobide,66,http://commons.wikimedia.org/wiki/Special:FilePath/Olatz%20Beobide.jpg
