itemLabel,ikuspenak,imagen
Mariano Arrate,4,http://commons.wikimedia.org/wiki/Special:FilePath/Mariano%20Arrate.png
Juan Artola,5,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Artola%20-%20Fondo%20Car-Kutxa%20Fototeka.jpg
Gonzalo Arconada,4,http://commons.wikimedia.org/wiki/Special:FilePath/Gonzalo%20Arconada.jpg
Mikel Arteta,26,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Arteta%20%28cropped%29.jpg
Aritz Aduriz,243,http://commons.wikimedia.org/wiki/Special:FilePath/Aritz%20Aduriz.jpg
Xabi Prieto,34,http://commons.wikimedia.org/wiki/Special:FilePath/Krasnodar-Real%20Sosiedad%20%286%29.jpg
Martin Markuleta,9,http://commons.wikimedia.org/wiki/Special:FilePath/Mart%C3%ADn%20Marculeta.jpg
Ander Murillo,6,http://commons.wikimedia.org/wiki/Special:FilePath/Ander%20murillo.jpg
Igor Gabilondo,9,http://commons.wikimedia.org/wiki/Special:FilePath/Igor%20gabilondo.jpg
Paco Bienzobas,5,http://commons.wikimedia.org/wiki/Special:FilePath/Paco%20Bienzobas.jpg
Unai Emery,62,http://commons.wikimedia.org/wiki/Special:FilePath/Unai%20Emery%202012.jpg
Joseba Llorente,19,http://commons.wikimedia.org/wiki/Special:FilePath/Joseba%20Llorente%20en%20Valladolid.jpg
Alberto Gorriz,13,http://commons.wikimedia.org/wiki/Special:FilePath/Gorriz%2C%20jugador%20de%20la%20Real%20Sociedad%20y%20con%20el%20logo%20de%20Niessen%20en%20la%20camiseta%2C%20pugna%20con%20un%20jugador%20rival%20en%20el%20viejo%20estadio%20de%20Atotxa%20en%20Donostia%20%28Gipuzkoa%29-1.jpg
Luis Regueiro,9,http://commons.wikimedia.org/wiki/Special:FilePath/Luis%20Regueiro.jpg
Manuel Cervantes,3,http://commons.wikimedia.org/wiki/Special:FilePath/Manuel%20Cervantes.jpg
Santiago Urtizberea,2,http://commons.wikimedia.org/wiki/Special:FilePath/Urtiz.jpg
Manuel Anatol,2,http://commons.wikimedia.org/wiki/Special:FilePath/Manuel%20Anatol%201932.jpg
Leire Landa,26,http://commons.wikimedia.org/wiki/Special:FilePath/Leire%20Landa.JPG
Sara Olaizola,18,http://commons.wikimedia.org/wiki/Special:FilePath/Sara%20Olaizola.jpg
Juan Legarreta,5,http://commons.wikimedia.org/wiki/Special:FilePath/Jlegarreta.JPG
