itemLabel,ikuspenak,imagen
Ander Izagirre,12,http://commons.wikimedia.org/wiki/Special:FilePath/Ander%20izagirre2.jpg
Jose Manterola,9,http://commons.wikimedia.org/wiki/Special:FilePath/Jose%20Manterola%20idazlea.jpg
Aitzpea Goenaga,12,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Instituto%20Vasco%20Etxepare%20renueva%20las%20convocatorias%20de%20ayudas%20para%20la%20difusi%C3%B3n%20exterior%20de%20la%20cultura%20%281%29.jpg
Karmelo C. Iribarren,11,http://commons.wikimedia.org/wiki/Special:FilePath/Karmelo%20C.%20Iribarren%202.JPG
Eneko Olasagasti,20,http://commons.wikimedia.org/wiki/Special:FilePath/EnekoOolasagastiArgia.jpg
Eugenio Ibarzabal,14,http://commons.wikimedia.org/wiki/Special:FilePath/Eugenio%20Ibarzabal.png
Andoni Sagarna,15,http://commons.wikimedia.org/wiki/Special:FilePath/Andoni%20Sagarna.png
Aritz Gorrotxategi,62,http://commons.wikimedia.org/wiki/Special:FilePath/Aritz%20Gorrotxategi.JPG
Enkarni Genua,18,http://commons.wikimedia.org/wiki/Special:FilePath/Enkarni%20Genua.jpg
Inaki Irazabalbeitia,34,http://commons.wikimedia.org/wiki/Special:FilePath/I%C3%B1aki%20Irazabalbeitia%20donostiarra.jpg
Dolores Redondo,45,http://commons.wikimedia.org/wiki/Special:FilePath/Dolores%20redondo.jpg
Ramon Saizarbitoria,252,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Saizarbitoria%20idazlea%202010ean.PNG
Lurdes Iriondo,3,http://commons.wikimedia.org/wiki/Special:FilePath/Lourdes%20Iriondo%201971%20txiki.jpg
Indalezio Bizkarrondo,5,http://commons.wikimedia.org/wiki/Special:FilePath/Bilintx.jpg
Anton Uriarte,3,http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Uriarte.JPG
Juan Pablo Fusi,2,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Pablo%20Fusi%20Aizpurua.jpg
Jose Gontzalo Zulaika,2,http://commons.wikimedia.org/wiki/Special:FilePath/Aita%20Donostia%20argazkia.jpg
Arantxa Urretabizkaia,402,http://commons.wikimedia.org/wiki/Special:FilePath/Arantxa%20Urretabizkaia%20%28Pamiela%20argitaletxea%29%20%28cropped%29.jpg
Fernando Savater,16,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20Savater%20by%20Gonzalo%20Merat.jpg
Miren Azkarate,48,http://commons.wikimedia.org/wiki/Special:FilePath/Bb%2020190405768051Bb%2020190405768051%2010.jpg
Ignazio Maria Etxaide,12,http://commons.wikimedia.org/wiki/Special:FilePath/Inazio%20Maria%20Etxaide.jpg
Ibon Sarasola,35,http://commons.wikimedia.org/wiki/Special:FilePath/Ibon%20Sarasola%20%282012%29.jpg
Karlos Santamaria,23,http://commons.wikimedia.org/wiki/Special:FilePath/Aitona.jpg
